	Tags	SeqName	Description	Length	#Hits	e-Value	sim mean	#GO	GO IDs	GO Names	Enzyme Codes	Enzyme Names	InterPro IDs	InterPro GO IDs	InterPro GO Names
true	[BLASTED]	XP_024716697.1	hypothetical protein M430DRAFT_70188	411	20	0.0	74.46								
true	[BLASTED]	SPM00050.1	extracellular solute-binding protein	457	20	0.0	91.6								
true	[BLASTED]	SPJ17200.1	heme-binding protein	164	20	1.40435E-114	82.03								
true	[BLASTED]	SPJ16131.1	ABC transporter permease	399	20	0.0	82.37								
true	[BLASTED]	SPJ14051.1	DUF3455 domain-containing protein	189	20	8.96406E-135	71.92								
true	[BLASTED]	SPF43255.1	hypothetical protein	205	20	1.0395E-148	62.2								
true	[BLASTED]	SPF36840.1	hypothetical protein SBA4_1920014	119	1	1.92562E-81	100.0								
true	[BLASTED]	SPF36450.1	NHL repeat containing protein	354	20	0.0	82.96								
true	[BLASTED]	SPF33318.1	DUF2961 domain-containing protein	376	20	0.0	74.87								
true	[BLASTED]	SPE51191.1	DUF1080 domain-containing protein	432	20	0.0	72.59								
true	[BLASTED]	SPE42008.1	DUF4331 domain-containing protein	476	20	0.0	56.66								
true	[BLASTED]	SPE27509.1	ABC transporter permease	449	20	0.0	85.29								
true	[BLASTED]	SCM79332.1	extracellular solute-binding protein	379	20	0.0	79.48								
true	[BLASTED]	SCM76765.1	spermidine/putrescine ABC transporter substrate-binding protein	379	20	0.0	94.44								
true	[BLASTED]	SAL53334.1	sugar ABC transporter substrate-binding protein	332	20	0.0	76.87								
true	[BLASTED]	SAL52609.1	transporter substrate-binding domain-containing protein	267	20	0.0	92.71								
true	[BLASTED]	SAL27611.1	TIGR03118 family protein	363	20	0.0	87.0								
true	[BLASTED]	SAK99727.1	gluconolactonase	312	20	0.0	93.39								
true	[BLASTED]	SAK97539.1	ABC transporter substrate-binding protein	433	20	0.0	93.67								
true	[BLASTED]	RMC93581.1	sugar ABC transporter substrate-binding protein	443	20	0.0	88.94								
true	[BLASTED]	RLP81660.1	ABC transporter substrate-binding protein	403	20	0.0	88.94								
true	[BLASTED]	RLP71301.1	tripartite tricarboxylate transporter substrate binding protein	316	20	0.0	88.28								
true	[BLASTED]	RLP28171.1	sugar ABC transporter substrate-binding protein	346	20	0.0	95.85								
true	[BLASTED]	RLP26752.1	ABC transporter substrate-binding protein	368	20	0.0	90.19								
true	[BLASTED]	RLP26663.1	sugar ABC transporter substrate-binding protein	331	20	0.0	94.58								
true	[BLASTED]	RLP25343.1	sugar ABC transporter substrate-binding protein	314	20	0.0	90.58								
