Query_def	Query_len	Subject_id	Subject_def	Subject_accession	Subject_Len	WeightCoverage	Subject_Min_evalue	Subject_Mean_evalue	Subject_Max_evalue	Query_Start	Query_End	Subject_Start	Subject_End	Min_Identity	Max_Identity	Min_BitScore	Max_BitScore	Query_NonOverlapped_Hsp_Num	Subject_NonOverlapped_Hsp_Num
ANZ14298.1	614	ref|WP_067344060.1|	alkaline phosphatase family protein [Streptomyces noursei] 	WP_067344060	614	1.0	0.0	0.0	4.9E-324	1	614	1	614	1.0	1.0	1265.37	1265.37	1	1
ANZ14298.1	614	ref|WP_102925111.1|	alkaline phosphatase family protein [Streptomyces noursei] 	WP_102925111	614	1.0	0.0	0.0	4.9E-324	1	614	1	614	0.9869706840390879	0.9869706840390879	1253.04	1253.04	1	1
ANZ14298.1	614	ref|WP_039629696.1|	alkaline phosphatase family protein [Streptomyces sp. 769] 	WP_039629696	614	0.998371335504886	0.0	0.0	4.9E-324	1	613	1	613	0.9869494290375204	0.9869494290375204	1252.27	1252.27	1	1
ANZ14298.1	614	ref|WP_073445584.1|	alkaline phosphatase family protein [Streptomyces yunnanensis] 	WP_073445584	614	1.0	0.0	0.0	4.9E-324	1	614	1	614	0.9853420195439739	0.9853420195439739	1249.96	1249.96	1	1
ANZ14298.1	614	ref|WP_100602993.1|	alkaline phosphatase family protein [Streptomyces sp. CB02959] 	WP_100602993	614	0.995114006514658	0.0	0.0	4.9E-324	1	611	1	611	0.9230769230769231	0.9230769230769231	1115.52	1115.52	1	1
ANZ14298.1	614	ref|WP_020931027.1|	alkaline phosphatase family protein [Streptomyces albulus] 	WP_020931027	614	0.998371335504886	0.0	0.0	4.9E-324	1	613	1	613	0.9200652528548124	0.9200652528548124	1107.43	1107.43	1	1
ANZ14298.1	614	ref|WP_018537662.1|	alkaline phosphatase family protein [Streptomyces sp. MspMP-M5]	WP_018537662	614	0.996742671009772	0.0	0.0	4.9E-324	1	612	1	612	0.923202614379085	0.923202614379085	1104.74	1104.74	1	1
ANZ14298.1	614	ref|WP_066981186.1|	alkaline phosphatase family protein [Streptomyces sp. NRRL F-4489] 	WP_066981186	614	0.995114006514658	0.0	0.0	4.9E-324	1	611	1	611	0.8788870703764321	0.8788870703764321	1103.2	1103.2	1	1
ANZ14298.1	614	gb|AKA07667.1|	phospholipase C [Streptomyces albulus ZPM]	AKA07667	599	0.9616026711185309	0.0	0.0	4.9E-324	38	613	23	598	0.9253472222222222	0.9253472222222222	1090.1	1090.1	1	1
ANZ14298.1	614	ref|WP_096214882.1|	alkaline phosphatase family protein [Streptomyces sp. 2323.1] 	WP_096214882	614	0.9364820846905537	0.0	0.0	4.9E-324	39	613	38	612	0.8278260869565217	0.8278260869565217	1008.44	1008.44	1	1
ANZ14298.1	614	ref|WP_040901191.1|	alkaline phosphatase family protein [Streptomyces auratus]	WP_040901191	614	0.9364820846905537	0.0	0.0	4.9E-324	39	613	38	612	0.8243478260869566	0.8243478260869566	1008.44	1008.44	1	1
ANZ14298.1	614	ref|WP_147245581.1|	alkaline phosphatase family protein [Streptomyces sp. ISID311] 	WP_147245581	614	0.9364820846905537	0.0	0.0	4.9E-324	39	613	38	612	0.8243478260869566	0.8243478260869566	1006.9	1006.9	1	1
ANZ14298.1	614	ref|WP_093640661.1|	alkaline phosphatase family protein [Streptomyces sp. 2224.1] 	WP_093640661	615	0.995114006514658	0.0	0.0	4.9E-324	1	611	1	611	0.8134206219312602	0.8134206219312602	1004.97	1004.97	1	1
ANZ14298.1	614	ref|WP_129246210.1|	alkaline phosphatase family protein [Streptomyces sioyaensis] 	WP_129246210	613	0.9396411092985318	0.0	0.0	4.9E-324	39	614	38	613	0.8211805555555556	0.8211805555555556	1004.97	1004.97	1	1
ANZ14298.1	614	ref|WP_093481723.1|	MULTISPECIES: alkaline phosphatase family protein [unclassified Streptomyces] 	WP_093481723	614	0.9364820846905537	0.0	0.0	4.9E-324	39	613	38	612	0.8243478260869566	0.8243478260869566	1004.2	1004.2	1	1
ANZ14298.1	614	ref|WP_093493221.1|	MULTISPECIES: alkaline phosphatase family protein [unclassified Streptomyces] 	WP_093493221	615	0.995114006514658	0.0	0.0	4.9E-324	1	611	1	611	0.8117839607201309	0.8117839607201309	1003.05	1003.05	1	1
ANZ14298.1	614	ref|WP_088796159.1|	MULTISPECIES: alkaline phosphatase family protein [unclassified Streptomyces] 	WP_088796159	615	0.995114006514658	0.0	0.0	4.9E-324	1	611	1	611	0.8117839607201309	0.8117839607201309	1003.05	1003.05	1	1
ANZ14298.1	614	ref|WP_129292578.1|	alkaline phosphatase family protein [Streptomyces lydicus]	WP_129292578	615	0.995114006514658	0.0	0.0	4.9E-324	1	611	1	611	0.8085106382978723	0.8085106382978723	1001.89	1001.89	1	1
ANZ14298.1	614	ref|WP_129281132.1|	alkaline phosphatase family protein [Streptomyces sp. TM32] 	WP_129281132	613	0.9396411092985318	0.0	0.0	4.9E-324	39	614	38	613	0.8194444444444444	0.8194444444444444	1000.35	1000.35	1	1
ANZ14298.1	614	ref|WP_099873072.1|	alkaline phosphatase family protein [Streptomyces sp. 76] 	WP_099873072	605	0.996694214876033	0.0	0.0	4.9E-324	10	612	1	603	0.8374792703150912	0.8374792703150912	996.882	996.882	1	1
ANZ14298.1	614	gb|AOP47483.1|	phospholipase [Streptomyces lydicus]	AOP47483	614	0.996742671009772	0.0	0.0	4.9E-324	1	612	1	612	0.8415032679738562	0.8415032679738562	993.03	993.03	1	1
