SeqName	Description	GO IDs	Enzyme Codes
plot6_0000101402_1	---NA---		
plot6_0000305963_1	lectin		
plot36_0000014810_9	acetamidase	F:GO:0016811	
plot30_0000194274_5	1,4-butanediol diacrylate esterase		
plot6_0000064288_4	MBL fold metallo-hydrolase		
plot36_0000176594_4	MBL fold metallo-hydrolase		
plot1_0000319393_1	MBL fold metallo-hydrolase		
plot1_0000359057_2	RidA family protein		
plot6_0000316597_1	amino acid ABC transporter substrate-binding protein		
plot30_0000668897_2	DUF4440 domain-containing protein	F:GO:0016853	
plot30_0000069230_3	DUF4440 domain-containing protein	F:GO:0016853	
plot30_0000595073_3	cysteine hydrolase	F:GO:0003824	
plot30_0000190144_3	group 1 truncated hemoglobin	F:GO:0019825; F:GO:0020037	
plot6_0000038415_7	hypothetical protein A3H95_15000		
plot30_0000425361_3	cupin domain-containing protein		
plot36_0000220771_3	lectin	F:GO:0030246	
plot6_0000216792_2	(2Fe-2S)-binding protein	F:GO:0009055; F:GO:0018492; P:GO:0022900; F:GO:0043885; F:GO:0046872; F:GO:0051536	EC:1.2.99.2; EC:1.2.7.4
plot30_0000010987_11	(2Fe-2S)-binding protein	F:GO:0009055; F:GO:0018492; P:GO:0022900; F:GO:0043885; F:GO:0046872; F:GO:0051536	EC:1.2.99.2; EC:1.2.7.4
plot1_0000060814_1	---NA---		
plot1_0000400293_4	Cache 3/Cache 2 fusion domain-containing protein	C:GO:0016021	
plot1_0000196656_3	MBL fold metallo-hydrolase		
plot6_0000256723_1	MBL fold metallo-hydrolase		
plot36_0000181260_1	alpha/beta hydrolase	F:GO:0016787	
plot30_0000020100_9	hypothetical protein ETSY2_28620		
plot36_0000092189_3	cupin domain-containing protein		
plot36_0000315027_1	1,4-butanediol diacrylate esterase		
plot1_0000113111_3	(2Fe-2S)-binding protein	F:GO:0009055; P:GO:0022900; F:GO:0043885; F:GO:0046872; F:GO:0051536	EC:1.2.7.4
plot1_0000153561_1	MBL fold metallo-hydrolase		
plot36_0000048356_1	MBL fold metallo-hydrolase		
plot1_0000107888_3	group 1 truncated hemoglobin	F:GO:0019825; F:GO:0020037	
plot30_0000052539_5	group 1 truncated hemoglobin	F:GO:0019825; F:GO:0020037	
plot30_0000109264_1	Predicted metal-dependent hydrolase, TIM-barrel fold	F:GO:0016787	
plot1_0000047103_1	xanthine dehydrogenase family protein subunit M	F:GO:0016491; F:GO:0050660	
plot6_0000176761_3	antibiotic biosynthesis monooxygenase	F:GO:0004497; P:GO:0055114	
plot36_0000151488_3	hypothetical protein DME00_28310		
plot30_0000077822_4	hypothetical protein DME00_28310		
plot6_0000234037_3	cupin domain-containing protein		
plot30_0000376390_1	group 1 truncated hemoglobin	F:GO:0019825; F:GO:0020037	
plot6_0000055000_3	ABC-type phosphate transport system, substrate-binding protein		
plot1_0000026828_11	MBL fold metallo-hydrolase		
plot36_0000215845_3	DUF1259 domain-containing protein		
plot1_0000241987_4	glycerol kinase	F:GO:0004370; F:GO:0005524; P:GO:0006072; P:GO:0016310; P:GO:0019563	EC:2.7.1.30
plot1_0000009595_14	Predicted metal-dependent hydrolase, TIM-barrel fold	F:GO:0016787	
plot30_0000602343_4	RidA family protein	F:GO:0016787	
plot30_0000192886_1	superoxide dismutase [Fe]	F:GO:0004784; P:GO:0019430; F:GO:0046872; P:GO:0055114	EC:1.15.1.1
plot1_0000535806_1	hypothetical protein A3H95_15000		
plot6_0000253714_1	DUF1259 domain-containing protein	C:GO:0016021	
plot6_0000128231_1	alkylhydroperoxidase	F:GO:0004601; F:GO:0051920; P:GO:0055114; P:GO:0098869	EC:1.11.1.15; EC:1.11.1.7
plot30_0000042870_12	hypothetical protein A3H95_15000		
plot1_0000600691_1	alcohol dehydrogenase	F:GO:0005509; C:GO:0016020; F:GO:0052930; F:GO:0052931; F:GO:0052932; F:GO:0052935; F:GO:0052936; P:GO:0055114	EC:1.1.2.7; EC:1.1.2.8
plot30_0000003519_17	MBL fold metallo-hydrolase		
plot1_0000006925_10	MBL fold metallo-hydrolase		
plot30_0000177303_8	dienelactone hydrolase family protein	F:GO:0016787	
plot36_0000491648_1	fructose bisphosphate aldolase	F:GO:0004332; P:GO:0006096	EC:4.1.2.13
plot36_0000026836_5	alkylhydroperoxidase	F:GO:0004601; F:GO:0051920; P:GO:0055114; P:GO:0098869	EC:1.11.1.15; EC:1.11.1.7
plot1_0000111847_4	Uncharacterized conserved protein	F:GO:0003674; C:GO:0005575; P:GO:0008150	
plot1_0000027203_3	Uncharacterized conserved protein	F:GO:0003674; C:GO:0005575; P:GO:0008150	
plot30_0000417933_4	alpha/beta hydrolase	F:GO:0016787	
plot1_0000343255_2	(2Fe-2S)-binding protein	F:GO:0009055; F:GO:0018492; P:GO:0022900; F:GO:0043885; F:GO:0046872; F:GO:0051536	EC:1.2.99.2; EC:1.2.7.4
plot1_0000010322_5	MBL fold metallo-hydrolase		
plot1_0000369796_2	CHRD domain-containing protein		
plot30_0000236976_2	periplasmic binding family protein		
plot1_0000547242_1	fumarylacetoacetate hydrolase	F:GO:0016787	
plot1_0000080019_6	thioredoxin	C:GO:0005623; P:GO:0006662; F:GO:0015035; P:GO:0045454; P:GO:0055114	
plot30_0000514659_1	periplasmic binding family protein		
plot30_0000055626_5	hypothetical protein DME00_28310		
plot1_0000609429_1	autoinducer 2 ABC transporter substrate-binding protein	P:GO:0008643; C:GO:0043190	
plot6_0000095594_2	amino acid ABC transporter substrate-binding protein		
plot1_0000007925_14	MBL fold metallo-hydrolase		
plot30_0000082019_2	fumarylacetoacetate hydrolase	F:GO:0016787	
plot36_0000102355_1	hypothetical protein A3H95_15000		
plot30_0000420761_2	---NA---		
plot30_0000190002_1	alcohol dehydrogenase	F:GO:0005509; C:GO:0016020; F:GO:0016614; P:GO:0055114	
plot1_0000015496_1	PQQ-dependent dehydrogenase, methanol/ethanol family	F:GO:0005509; C:GO:0016020; F:GO:0016614; C:GO:0030288; P:GO:0055114	
plot30_0000010027_6	sugar ABC transporter substrate-binding protein	P:GO:0008643	
plot1_0000003747_25	hypothetical protein AUG92_00145	F:GO:0004061; C:GO:0016021; P:GO:0019441	EC:3.5.1.9
plot1_0000484451_1	alpha/beta hydrolase	F:GO:0016787	
plot30_0000578123_2	---NA---		
plot1_0000355125_2	lactonase family protein		
plot30_0000008745_10	hypothetical protein DMG76_33370		
plot30_0000006722_7	MBL fold metallo-hydrolase		
plot1_0000189149_5	MBL fold metallo-hydrolase		
plot36_0000003593_4	MBL fold metallo-hydrolase		
plot30_0000223362_4	MBL fold metallo-hydrolase		
plot6_0000215195_2	sugar ABC transporter substrate-binding protein		
plot30_0000009969_4	MBL fold metallo-hydrolase		
plot36_0000056992_3	MBL fold metallo-hydrolase		
plot1_0000047103_2	(2Fe-2S)-binding protein	F:GO:0009055; F:GO:0018492; P:GO:0022900; F:GO:0043885; F:GO:0046872; F:GO:0051536	EC:1.2.99.2; EC:1.2.7.4
plot1_0000189371_1	sugar ABC transporter substrate-binding protein	P:GO:0008643	
plot1_0000095717_1	(2Fe-2S)-binding protein	F:GO:0009055; P:GO:0022900; F:GO:0046872; F:GO:0051537	
plot30_0000000505_51	hypothetical protein DMG96_05350		
plot1_0000056527_6	hypothetical protein EHM55_09470, partial		
plot1_0000726190_2	cupin domain-containing protein		
plot6_0000261959_1	---NA---		
plot1_0000414356_1	fructose bisphosphate aldolase	F:GO:0004332; P:GO:0006096	EC:4.1.2.13
plot6_0000010400_11	MBL fold metallo-hydrolase	F:GO:0016787	
plot36_0000001120_27	lectin	F:GO:0030246	
plot1_0000394686_4	---NA---		
plot30_0000246178_2	ABC transporter		
plot30_0000338727_1	sugar ABC transporter substrate-binding protein		
plot30_0000684197_2	glyoxalase	F:GO:0016829; F:GO:0051213; P:GO:0055114	
plot6_0000001396_10	lectin	F:GO:0030246	
plot6_0000014658_3	lectin	F:GO:0030246	
plot1_0000189635_3	DUF1259 domain-containing protein		
plot6_0000295328_1	DUF1259 domain-containing protein	C:GO:0016021	
plot36_0000162499_3	MBL fold metallo-hydrolase		
plot1_0000000492_41	DUF1259 domain-containing protein	C:GO:0016021	
plot1_0000000422_19	DUF1259 domain-containing protein	C:GO:0016021	
plot1_0000560538_3	STAS/SEC14 domain-containing protein		
plot6_0000069077_1	ABC transporter substrate-binding protein	P:GO:0006865; C:GO:0016020	
plot1_0000503016_3	cupin domain-containing protein		
plot6_0000141419_3	periplasmic binding family protein		
plot1_0000656931_1	cupin domain-containing protein		
plot6_0000208773_2	MBL fold metallo-hydrolase		
plot1_0000091892_2	hypothetical protein EHM59_16520		
plot1_0000693918_3	lectin	F:GO:0030246	
plot36_0000478954_3	cupin domain-containing protein		
plot6_0000117375_2	xanthine dehydrogenase family protein subunit M	F:GO:0016491; P:GO:0055114; F:GO:0071949	
plot6_0000171198_2	carbon monoxide dehydrogenase	F:GO:0016491; P:GO:0055114; F:GO:0071949	
plot1_0000020278_9	lectin	F:GO:0030246	
plot30_0000107970_5	hypothetical protein DMG96_31070		
plot30_0000194796_6	hypothetical protein DMG96_31070		
plot36_0000437717_1	cytochrome C peroxidase	F:GO:0005488; P:GO:0009987; C:GO:0016020; F:GO:0016491; P:GO:0055114	
plot6_0000015590_7	lectin	F:GO:0030246	
plot30_0000555272_3	sugar ABC transporter substrate-binding protein	P:GO:0008643	
plot30_0000641641_3	carbohydrate ABC transporter substrate-binding protein		
plot30_0000048049_2	alcohol dehydrogenase	F:GO:0005509; C:GO:0016020; F:GO:0016614; P:GO:0055114	
plot6_0000275114_4	methyl-accepting chemotaxis protein	C:GO:0016020	
plot1_0000250644_4	DinB family protein		
plot1_0000092026_4	branched-chain amino acid ABC transporter substrate-binding protein	C:GO:0016021	
plot1_0000127406_1	hypothetical protein DMD96_13475		
plot6_0000288227_1	group 1 truncated hemoglobin	F:GO:0019825; F:GO:0020037	
plot6_0000223086_3	Cytochrome P460	C:GO:0016020	
plot1_0000719573_2	DUF1259 domain-containing protein		
