SeqName	Description	GO IDs	Enzyme Codes
XP_024716697.1	hypothetical protein M430DRAFT_70188		
SPM00050.1	extracellular solute-binding protein		
SPJ17200.1	heme-binding protein		
SPJ16131.1	ABC transporter permease		
SPJ14051.1	DUF3455 domain-containing protein		
SPF43255.1	hypothetical protein		
SPF36840.1	hypothetical protein SBA4_1920014		
SPF36450.1	NHL repeat containing protein		
SPF33318.1	DUF2961 domain-containing protein		
SPE51191.1	DUF1080 domain-containing protein		
SPE42008.1	DUF4331 domain-containing protein		
SPE27509.1	ABC transporter permease		
SCM79332.1	extracellular solute-binding protein		
SCM76765.1	spermidine/putrescine ABC transporter substrate-binding protein		
SAL53334.1	sugar ABC transporter substrate-binding protein		
SAL52609.1	transporter substrate-binding domain-containing protein		
SAL27611.1	TIGR03118 family protein		
SAK99727.1	gluconolactonase		
SAK97539.1	ABC transporter substrate-binding protein		
RMC93581.1	sugar ABC transporter substrate-binding protein		
RLP81660.1	ABC transporter substrate-binding protein		
RLP71301.1	tripartite tricarboxylate transporter substrate binding protein		
RLP28171.1	sugar ABC transporter substrate-binding protein		
RLP26752.1	ABC transporter substrate-binding protein		
RLP26663.1	sugar ABC transporter substrate-binding protein		
RLP25343.1	sugar ABC transporter substrate-binding protein		
RLP25229.1	sugar ABC transporter substrate-binding protein		
RLP25005.1	sulfate transporter		
RLP23162.1	sugar ABC transporter substrate-binding protein		
RLP22432.1	D-ribose ABC transporter substrate-binding protein		
RLP22349.1	amino acid ABC transporter substrate-binding protein		
RKT26284.1	urea ABC transporter substrate-binding protein		
RKH15454.1	hypothetical protein		
RKG64036.1	phage tail protein		
RKE74430.1	nitrate ABC transporter substrate-binding protein		
RKE73608.1	amino acid ABC transporter substrate-binding protein		
RKE72505.1	ABC transporter permease		
RKE72462.1	ABC transporter substrate-binding protein		
RKE72235.1	urea ABC transporter substrate-binding protein		
RKE70917.1	ABC transporter permease		
RKE70857.1	tripartite tricarboxylate transporter substrate binding protein		
RKE70350.1	ABC transporter permease		
RKE70241.1	ABC transporter substrate-binding protein		
RKE69748.1	phosphate ABC transporter substrate-binding protein		
RKE69645.1	Uncharacterized conserved protein		
RKE65882.1	DUF1254 domain-containing protein		
RKE51305.1	twin-arginine translocation signal domain-containing protein		
RKE49024.1	branched-chain amino acid ABC transporter substrate-binding protein		
RKE46205.1	amino acid ABC transporter substrate-binding protein		
RKE44202.1	branched-chain amino acid ABC transporter substrate-binding protein		
RKE43867.1	lectin		
RKE42267.1	ABC transporter substrate-binding protein		
RJR97484.1	amino acid ABC transporter substrate-binding protein		
RJF91648.1	amino acid ABC transporter substrate-binding protein		
RIY13278.1	phage tail protein		
RIH85691.1	sugar ABC transporter substrate-binding protein		
RIH81903.1	taurine ABC transporter substrate-binding protein		
RIA76122.1	phage tail protein		
RIA02476.1	branched-chain amino acid ABC transporter substrate-binding protein		
RIA02208.1	ABC transporter substrate-binding protein		
RHZ96650.1	extracellular solute-binding protein		
RHZ95810.1	urea ABC transporter substrate-binding protein		
RFZ88742.1	phosphonate ABC transporter substrate-binding protein		
RFU47151.1	ABC transporter substrate-binding protein		
RFS16593.1	right-handed parallel beta-helix repeat-containing protein		
RFB80279.1	ABC transporter substrate-binding protein		
RFB76570.1	SMP-30/gluconolactonase/LRE family protein		
REE06917.1	YD repeat-containing protein		
RED58765.1	BMP family ABC transporter substrate-binding protein		
RED53897.1	sn-glycerol-3-phosphate ABC transporter substrate-binding protein UgpB		
RDU98849.1	ABC transporter substrate-binding protein		
RDS85431.1	outer membrane protein B		
RDK96090.1	sugar ABC transporter substrate-binding protein		
RDK94087.1	ABC transporter substrate-binding protein		
RDK90708.1	transporter substrate-binding domain-containing protein		
RDD82464.1	outer membrane protein B		
RCW98592.1	amino acid ABC transporter substrate-binding protein		
RCW81888.1	ribose ABC transporter substrate-binding protein		
RAZ91308.1	phage tail protein		
RAX40434.1	ribose ABC transporter substrate-binding protein		
RAS39251.1	extracellular solute-binding protein		
RAR53557.1	NIPSNAP family protein		
RAQ96543.1	ABC transporter substrate-binding protein		
RAK58679.1	signal peptide protein		
RAK33095.1	glutamate ABC transporter substrate-binding protein		
PZS38676.1	sugar ABC transporter substrate-binding protein		
PZS33494.1	BNR/Asp-box repeat-containing protein		
PZS30825.1	hypothetical protein DLM59_10830		
PZS29344.1	DUF1326 domain-containing protein		
PZS23976.1	hypothetical protein DLM54_00335		
PZR99463.1	ABC transporter substrate-binding protein		
PZR86337.1	GYD domain-containing protein		
PZR84850.1	ABC transporter substrate-binding protein		
PZR84143.1	DinB family protein		
PZR82197.1	sugar ABC transporter substrate-binding protein		
PZR65746.1	AsnC family transcriptional regulator		
PZR64193.1	SRPBCC domain-containing protein		
PZR63014.1	sugar ABC transporter substrate-binding protein		
PZG01455.1	carbohydrate ABC transporter, N-acetylglucosamine/diacetylchitobiose-binding protein		
PZF93578.1	DinB family protein		
PZA08056.1	transcriptional regulator		
PYY12600.1	gluconolactonase		
PYX87422.1	phage tail protein		
PYX87421.1	microcystin dependent protein		
PYX72757.1	hypothetical protein DMG78_11345		
PYX66471.1	sugar ABC transporter substrate-binding protein		
PYX66336.1	6-bladed beta-propeller		
PYX61565.1	hypothetical protein DMG74_22415		
PYX54865.1	hypothetical protein DMG76_19905		
PYX51955.1	TIGR03118 family protein		
PYX45802.1	hypothetical protein DMG83_08750		
PYX43301.1	hypothetical protein DMG83_17820		
PYX43142.1	DUF1348 domain-containing protein		
PYX42355.1	TIGR03118 family protein		
PYX33121.1	hypothetical protein DMG80_06660		
PYX32367.1	hypothetical protein DMG80_08310		
PYX28881.1	hypothetical protein DMG80_15620		
PYX21970.1	hypothetical protein DMG87_08480		
PYX20574.1	cupin domain-containing protein		
PYX18662.1	hypothetical protein DMG87_13850		
PYX14731.1	hypothetical protein DMG86_04220		
PYX14638.1	DUF4331 domain-containing protein		
PYX07153.1	hypothetical protein DMG88_15550		
PYX06542.1	choice-of-anchor D domain-containing protein		
PYX05281.1	TIGR03118 family protein		
PYV99728.1	DUF4331 domain-containing protein		
PYV97353.1	tetratricopeptide repeat protein		
PYV95859.1	hypothetical protein DMG89_19855		
PYV88280.1	hypothetical protein DMG90_15110		
PYV87004.1	TIGR03118 family protein		
PYV80239.1	hypothetical protein DMG93_19295		
PYV71891.1	hypothetical protein DMG96_27770		
PYV69989.1	hypothetical protein DMG97_20440		
PYV69209.1	cupin domain-containing protein		
PYV47424.1	hypothetical protein DMG94_06205		
PYV43240.1	hypothetical protein DMG09_00890, partial		
PYV41073.1	SMP-30/gluconolactonase/LRE family protein		
PYV29559.1	DUF1259 domain-containing protein		
PYV26656.1	hypothetical protein DMG27_06185		
PYV14821.1	hypothetical protein DMG07_11055, partial		
PYV08986.1	BNR/Asp-box repeat protein		
PYU90400.1	lectin		
PYU85262.1	NmrA family transcriptional regulator		
PYU29788.1	cupin domain-containing protein		
PYU27303.1	transcription initiation protein		
PYU26783.1	NHL repeat-containing protein		
PYU25064.1	ferritin-like protein		
PYU21028.1	hypothetical protein DMG30_18885		
PYU14770.1	pyrrolo-quinoline quinone		
PYU12280.1	glyoxalase		
PYU10259.1	pyrrolo-quinoline quinone		
PYU02679.1	hypothetical protein DMG33_18355		
PYU01134.1	hypothetical protein DMG38_04905		
PYT93249.1	phosphatase		
PYT69133.1	cupin domain-containing protein		
PYT49873.1	ferritin-like protein		
PYT26547.1	YVTN family beta-propeller domain-containing protein		
PYT07278.1	hypothetical protein DMF60_07455		
PYS69593.1	Right handed beta helix region		
PYS66713.1	DUF4331 domain-containing protein		
PYS65185.1	microcystin dependent protein		
PYS57361.1	hypothetical protein DMF74_26240		
PYS55806.1	NHL repeat-containing protein		
PYS54940.1	hypothetical protein DMG13_06250		
PYS54881.1	DUF1080 domain-containing protein		
PYS54827.1	hypothetical protein DMG13_06265		
PYS53438.1	gluconolactonase		
PYS53159.1	hypothetical protein DMG13_13720		
PYS47639.1	hypothetical protein DMG13_27420		
PYS42762.1	lectin		
PYS42750.1	hypothetical protein DMG14_02985		
PYS42618.1	hypothetical protein DMF71_08930		
PYS40658.1	hypothetical protein DMG14_09850		
PYS40473.1	hypothetical protein DMG14_10435		
PYS40361.1	cytochrome C nitrite reductase		
PYS40138.1	hypothetical protein DMG14_11595		
PYS39602.1	hypothetical protein DMG14_13420		
PYS38818.1	aldolase		
PYS38201.1	nucleoside-diphosphate sugar epimerase		
PYS38142.1	NHL repeat containing protein		
PYS37164.1	phage tail protein		
PYS35116.1	DUF1080 domain-containing protein		
PYS35054.1	hypothetical protein DMG14_27900		
