	Tags	SeqName	Description	Length	#Hits	e-Value	sim mean	#GO	GO IDs	GO Names	Enzyme Codes	Enzyme Names	InterPro IDs	InterPro GO IDs	InterPro GO Names
true	[NO-BLAST]	plot6_0000101402_1	---NA---	26											
true	[BLASTED]	plot6_0000305963_1	lectin	170	20	3.11364E-52	61.9								
true	[BLASTED, MAPPED, ANNOTATED]	plot36_0000014810_9	acetamidase	86	20	2.88669E-53	92.91	1	F:GO:0016811	F:hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in linear amides					
true	[BLASTED]	plot30_0000194274_5	1,4-butanediol diacrylate esterase	47	20	2.39319E-14	75.03								
true	[BLASTED]	plot6_0000064288_4	MBL fold metallo-hydrolase	290	20	8.95574E-177	82.54								
true	[BLASTED]	plot36_0000176594_4	MBL fold metallo-hydrolase	237	20	7.5393E-171	89.02								
true	[BLASTED]	plot1_0000319393_1	MBL fold metallo-hydrolase	270	20	1.37893E-168	85.23								
true	[BLASTED]	plot1_0000359057_2	RidA family protein	119	20	1.82419E-57	74.46								
true	[BLASTED]	plot6_0000316597_1	amino acid ABC transporter substrate-binding protein	273	20	0.0	85.8								
true	[BLASTED, MAPPED]	plot30_0000668897_2	DUF4440 domain-containing protein	125	20	2.83928E-41	66.98	1	F:GO:0016853	F:isomerase activity					
true	[BLASTED, MAPPED]	plot30_0000069230_3	DUF4440 domain-containing protein	125	20	1.38779E-40	67.29	1	F:GO:0016853	F:isomerase activity					
true	[BLASTED, MAPPED, ANNOTATED]	plot30_0000595073_3	cysteine hydrolase	199	20	1.24925E-101	60.46	1	F:GO:0003824	F:catalytic activity					
true	[BLASTED, MAPPED, ANNOTATED]	plot30_0000190144_3	group 1 truncated hemoglobin	142	20	3.01598E-79	74.53	2	F:GO:0019825; F:GO:0020037	F:oxygen binding; F:heme binding					
true	[BLASTED]	plot6_0000038415_7	hypothetical protein A3H95_15000	89	20	1.94094E-46	70.76								
true	[BLASTED]	plot30_0000425361_3	cupin domain-containing protein	56	20	6.99678E-28	96.04								
true	[BLASTED, MAPPED, ANNOTATED]	plot36_0000220771_3	lectin	199	20	1.48868E-133	86.82	1	F:GO:0030246	F:carbohydrate binding					
true	[BLASTED, MAPPED, ANNOTATED]	plot6_0000216792_2	(2Fe-2S)-binding protein	164	20	3.43498E-103	86.27	6	F:GO:0009055; F:GO:0018492; P:GO:0022900; F:GO:0043885; F:GO:0046872; F:GO:0051536	F:electron transfer activity; F:carbon-monoxide dehydrogenase (acceptor) activity; P:electron transport chain; F:carbon-monoxide dehydrogenase (ferredoxin) activity; F:metal ion binding; F:iron-sulfur cluster binding	EC:1.2.99.2; EC:1.2.7.4	Acting on the aldehyde or oxo group of donors; Anaerobic carbon-monoxide dehydrogenase			
true	[BLASTED, MAPPED, ANNOTATED]	plot30_0000010987_11	(2Fe-2S)-binding protein	164	20	1.07373E-103	84.68	6	F:GO:0009055; F:GO:0018492; P:GO:0022900; F:GO:0043885; F:GO:0046872; F:GO:0051536	F:electron transfer activity; F:carbon-monoxide dehydrogenase (acceptor) activity; P:electron transport chain; F:carbon-monoxide dehydrogenase (ferredoxin) activity; F:metal ion binding; F:iron-sulfur cluster binding	EC:1.2.99.2; EC:1.2.7.4	Acting on the aldehyde or oxo group of donors; Anaerobic carbon-monoxide dehydrogenase			
true	[NO-BLAST]	plot1_0000060814_1	---NA---	105											
true	[BLASTED, MAPPED, ANNOTATED]	plot1_0000400293_4	Cache 3/Cache 2 fusion domain-containing protein	112	20	6.08375E-48	79.8	1	C:GO:0016021	C:integral component of membrane					
