SeqName	GO IDs
plot6_0000101402_1	
plot6_0000305963_1	
plot36_0000014810_9	F:GO:0016811
plot30_0000194274_5	
plot6_0000064288_4	
plot36_0000176594_4	
plot1_0000319393_1	
plot1_0000359057_2	
plot6_0000316597_1	
plot30_0000668897_2	F:GO:0016853
plot30_0000069230_3	F:GO:0016853
plot30_0000595073_3	F:GO:0003824
plot30_0000190144_3	F:GO:0019825; F:GO:0020037
plot6_0000038415_7	
plot30_0000425361_3	
plot36_0000220771_3	F:GO:0030246
plot6_0000216792_2	F:GO:0009055; F:GO:0018492; P:GO:0022900; F:GO:0043885; F:GO:0046872; F:GO:0051536
plot30_0000010987_11	F:GO:0009055; F:GO:0018492; P:GO:0022900; F:GO:0043885; F:GO:0046872; F:GO:0051536
plot1_0000060814_1	
plot1_0000400293_4	C:GO:0016021
plot1_0000196656_3	
plot6_0000256723_1	
plot36_0000181260_1	F:GO:0016787
plot30_0000020100_9	
plot36_0000092189_3	
plot36_0000315027_1	
plot1_0000113111_3	F:GO:0009055; P:GO:0022900; F:GO:0043885; F:GO:0046872; F:GO:0051536
plot1_0000153561_1	
plot36_0000048356_1	
plot1_0000107888_3	F:GO:0019825; F:GO:0020037
plot30_0000052539_5	F:GO:0019825; F:GO:0020037
plot30_0000109264_1	F:GO:0016787
plot1_0000047103_1	F:GO:0016491; F:GO:0050660
plot6_0000176761_3	F:GO:0004497; P:GO:0055114
plot36_0000151488_3	
plot30_0000077822_4	
plot6_0000234037_3	
plot30_0000376390_1	F:GO:0019825; F:GO:0020037
plot6_0000055000_3	
plot1_0000026828_11	
plot36_0000215845_3	
plot1_0000241987_4	F:GO:0004370; F:GO:0005524; P:GO:0006072; P:GO:0016310; P:GO:0019563
plot1_0000009595_14	F:GO:0016787
plot30_0000602343_4	F:GO:0016787
plot30_0000192886_1	F:GO:0004784; P:GO:0019430; F:GO:0046872; P:GO:0055114
plot1_0000535806_1	
plot6_0000253714_1	C:GO:0016021
plot6_0000128231_1	F:GO:0004601; F:GO:0051920; P:GO:0055114; P:GO:0098869
plot30_0000042870_12	
plot1_0000600691_1	F:GO:0005509; C:GO:0016020; F:GO:0052930; F:GO:0052931; F:GO:0052932; F:GO:0052935; F:GO:0052936; P:GO:0055114
plot30_0000003519_17	
plot1_0000006925_10	
plot30_0000177303_8	F:GO:0016787
plot36_0000491648_1	F:GO:0004332; P:GO:0006096
plot36_0000026836_5	F:GO:0004601; F:GO:0051920; P:GO:0055114; P:GO:0098869
plot1_0000111847_4	F:GO:0003674; C:GO:0005575; P:GO:0008150
plot1_0000027203_3	F:GO:0003674; C:GO:0005575; P:GO:0008150
plot30_0000417933_4	F:GO:0016787
plot1_0000343255_2	F:GO:0009055; F:GO:0018492; P:GO:0022900; F:GO:0043885; F:GO:0046872; F:GO:0051536
plot1_0000010322_5	
plot1_0000369796_2	
plot30_0000236976_2	
plot1_0000547242_1	F:GO:0016787
plot1_0000080019_6	C:GO:0005623; P:GO:0006662; F:GO:0015035; P:GO:0045454; P:GO:0055114
plot30_0000514659_1	
plot30_0000055626_5	
plot1_0000609429_1	P:GO:0008643; C:GO:0043190
plot6_0000095594_2	
plot1_0000007925_14	
plot30_0000082019_2	F:GO:0016787
plot36_0000102355_1	
plot30_0000420761_2	
plot30_0000190002_1	F:GO:0005509; C:GO:0016020; F:GO:0016614; P:GO:0055114
plot1_0000015496_1	F:GO:0005509; C:GO:0016020; F:GO:0016614; C:GO:0030288; P:GO:0055114
plot30_0000010027_6	P:GO:0008643
plot1_0000003747_25	F:GO:0004061; C:GO:0016021; P:GO:0019441
plot1_0000484451_1	F:GO:0016787
plot30_0000578123_2	
plot1_0000355125_2	
plot30_0000008745_10	
plot30_0000006722_7	
plot1_0000189149_5	
plot36_0000003593_4	
plot30_0000223362_4	
plot6_0000215195_2	
plot30_0000009969_4	
plot36_0000056992_3	
plot1_0000047103_2	F:GO:0009055; F:GO:0018492; P:GO:0022900; F:GO:0043885; F:GO:0046872; F:GO:0051536
plot1_0000189371_1	P:GO:0008643
plot1_0000095717_1	F:GO:0009055; P:GO:0022900; F:GO:0046872; F:GO:0051537
plot30_0000000505_51	
plot1_0000056527_6	
plot1_0000726190_2	
plot6_0000261959_1	
plot1_0000414356_1	F:GO:0004332; P:GO:0006096
plot6_0000010400_11	F:GO:0016787
plot36_0000001120_27	F:GO:0030246
plot1_0000394686_4	
plot30_0000246178_2	
plot30_0000338727_1	
plot30_0000684197_2	F:GO:0016829; F:GO:0051213; P:GO:0055114
plot6_0000001396_10	F:GO:0030246
plot6_0000014658_3	F:GO:0030246
plot1_0000189635_3	
plot6_0000295328_1	C:GO:0016021
plot36_0000162499_3	
plot1_0000000492_41	C:GO:0016021
plot1_0000000422_19	C:GO:0016021
plot1_0000560538_3	
plot6_0000069077_1	P:GO:0006865; C:GO:0016020
plot1_0000503016_3	
plot6_0000141419_3	
plot1_0000656931_1	
plot6_0000208773_2	
plot1_0000091892_2	
plot1_0000693918_3	F:GO:0030246
plot36_0000478954_3	
plot6_0000117375_2	F:GO:0016491; P:GO:0055114; F:GO:0071949
plot6_0000171198_2	F:GO:0016491; P:GO:0055114; F:GO:0071949
plot1_0000020278_9	F:GO:0030246
plot30_0000107970_5	
plot30_0000194796_6	
plot36_0000437717_1	F:GO:0005488; P:GO:0009987; C:GO:0016020; F:GO:0016491; P:GO:0055114
plot6_0000015590_7	F:GO:0030246
plot30_0000555272_3	P:GO:0008643
plot30_0000641641_3	
plot30_0000048049_2	F:GO:0005509; C:GO:0016020; F:GO:0016614; P:GO:0055114
plot6_0000275114_4	C:GO:0016020
plot1_0000250644_4	
plot1_0000092026_4	C:GO:0016021
plot1_0000127406_1	
plot6_0000288227_1	F:GO:0019825; F:GO:0020037
plot6_0000223086_3	C:GO:0016020
plot1_0000719573_2	
plot1_0000562518_2	F:GO:0004784; P:GO:0019430; F:GO:0046872; P:GO:0055114
plot6_0000105987_2	F:GO:0004792
plot1_0000214610_1	F:GO:0030246
plot30_0000043850_5	F:GO:0003824
