Query_def	Query_len	Subject_id	Subject_def	Subject_accession	Subject_Len	WeightCoverage	Subject_Min_evalue	Subject_Mean_evalue	Subject_Max_evalue	Query_Start	Query_End	Subject_Start	Subject_End	Min_Identity	Max_Identity	Min_BitScore	Max_BitScore	Query_NonOverlapped_Hsp_Num	Subject_NonOverlapped_Hsp_Num
OLB69776.1	719	gb|OLB69776.1|	alkaline phosphatase [Alphaproteobacteria bacterium 13_2_20CM_2_64_7]	OLB69776	719	1.0	0.0	0.0	4.9E-324	1	719	1	719	1.0	1.0	1470.68	1470.68	1	1
OLB69776.1	719	gb|TMJ89775.1|	alkaline phosphatase [Alphaproteobacteria bacterium]	TMJ89775	524	0.9961832061068703	0.0	0.0	4.9E-324	4	525	2	523	0.8908045977011494	0.8908045977011494	972.615	972.615	1	1
OLB69776.1	719	gb|TMK14643.1|	alkaline phosphatase [Alphaproteobacteria bacterium]	TMK14643	524	0.9980916030534351	0.0	0.0	4.9E-324	1	525	1	523	0.9104761904761904	0.9104761904761904	969.148	969.148	1	1
OLB69776.1	719	gb|TMJ97348.1|	alkaline phosphatase [Alphaproteobacteria bacterium]	TMJ97348	524	0.9961832061068703	0.0	0.0	4.9E-324	4	525	2	523	0.8467432950191571	0.8467432950191571	904.049	904.049	1	1
OLB69776.1	719	gb|PWT86525.1|	alkaline phosphatase [Blastocatellia bacterium]	PWT86525	527	0.9867172675521821	0.0	0.0	4.9E-324	7	523	5	524	0.7826923076923077	0.7826923076923077	860.907	860.907	1	1
OLB69776.1	719	gb|OJX99630.1|	alkaline phosphatase [Rhizobiales bacterium 62-17]	OJX99630	530	0.9849056603773585	0.0	0.0	4.9E-324	6	524	7	528	0.764367816091954	0.764367816091954	840.877	840.877	1	1
OLB69776.1	719	ref|WP_090707044.1|	alkaline phosphatase [Beijerinckia sp. 28-YEA-48] 	WP_090707044	530	0.9849056603773585	0.0	0.0	4.9E-324	6	524	7	528	0.7241379310344828	0.7241379310344828	806.209	806.209	1	1
OLB69776.1	719	gb|OJX99631.1|	alkaline phosphatase [Rhizobiales bacterium 62-17]	OJX99631	530	0.9867924528301887	0.0	0.0	4.9E-324	5	524	6	528	0.7151051625239006	0.7151051625239006	791.956	791.956	1	1
OLB69776.1	719	ref|WP_068023971.1|	alkaline phosphatase [Rhodoplanes sp. Z2-YC6860] 	WP_068023971	528	0.9829545454545454	0.0	0.0	4.9E-324	7	525	9	527	0.7126436781609196	0.7126436781609196	787.334	787.334	1	1
OLB69776.1	719	ref|WP_115692902.1|	alkaline phosphatase [Pseudolabrys taiwanensis] 	WP_115692902	528	0.990530303030303	0.0	0.0	4.9E-324	5	523	3	525	0.7189292543021033	0.7189292543021033	778.474	778.474	1	1
OLB69776.1	719	ref|WP_056913135.1|	alkaline phosphatase [Pseudolabrys sp. Root1462] 	WP_056913135	530	0.9471698113207547	0.0	0.0	4.9E-324	28	525	28	529	0.7290836653386454	0.7290836653386454	764.607	764.607	1	1
OLB69776.1	719	ref|WP_042672535.1|	MULTISPECIES: alkaline phosphatase [unclassified Methylobacterium] 	WP_042672535	523	0.9904397705544933	0.0	0.0	4.9E-324	7	523	3	520	0.6994219653179191	0.6994219653179191	761.14	761.14	1	1
OLB69776.1	719	ref|WP_091675754.1|	alkaline phosphatase [Methylobacterium sp. 275MFSha3.1] 	WP_091675754	523	0.9904397705544933	0.0	0.0	4.9E-324	7	523	3	520	0.6994219653179191	0.6994219653179191	760.37	760.37	1	1
OLB69776.1	719	ref|WP_020091164.1|	alkaline phosphatase [Methylobacterium sp. 285MFTsu5.1]	WP_020091164	523	0.9904397705544933	0.0	0.0	4.9E-324	7	523	3	520	0.6994219653179191	0.6994219653179191	759.985	759.985	1	1
OLB69776.1	719	ref|WP_100251511.1|	alkaline phosphatase [Methylobacterium sp. UNC300MFChir4.1] 	WP_100251511	523	0.9904397705544933	0.0	0.0	4.9E-324	7	523	3	520	0.697495183044316	0.697495183044316	759.985	759.985	1	1
OLB69776.1	719	ref|WP_132368492.1|	alkaline phosphatase [Methylobacterium sp. BK227] 	WP_132368492	523	0.9904397705544933	0.0	0.0	4.9E-324	7	523	3	520	0.6994219653179191	0.6994219653179191	759.985	759.985	1	1
OLB69776.1	719	ref|WP_010684945.1|	alkaline phosphatase [Methylobacterium mesophilicum] 	WP_010684945	523	0.994263862332696	0.0	0.0	4.9E-324	5	523	1	520	0.6948176583493282	0.6948176583493282	759.985	759.985	1	1
OLB69776.1	719	ref|WP_091980335.1|	alkaline phosphatase [Methylobacterium sp. 13MFTsu3.1M2] 	WP_091980335	523	0.9904397705544933	0.0	0.0	4.9E-324	7	523	3	520	0.6994219653179191	0.6994219653179191	759.599	759.599	1	1
OLB69776.1	719	ref|WP_056526484.1|	alkaline phosphatase [Methylobacterium sp. Leaf361] 	WP_056526484	523	0.9904397705544933	0.0	0.0	4.9E-324	7	523	3	520	0.697495183044316	0.697495183044316	758.444	758.444	1	1
OLB69776.1	719	ref|WP_147941079.1|	alkaline phosphatase [Methylobacterium sp. WL64]	WP_147941079	523	0.9904397705544933	0.0	0.0	4.9E-324	7	523	3	520	0.697495183044316	0.697495183044316	758.444	758.444	1	1
OLB69776.1	719	ref|WP_071000193.1|	alkaline phosphatase [Methylobacterium sp. C1]	WP_071000193	523	0.9904397705544933	0.0	0.0	4.9E-324	7	523	3	520	0.6936416184971098	0.6936416184971098	757.673	757.673	1	1
OLB69776.1	719	ref|WP_091928070.1|	alkaline phosphatase [Methylobacterium sp. yr668] 	WP_091928070	523	0.9904397705544933	0.0	0.0	4.9E-324	7	523	3	520	0.697495183044316	0.697495183044316	757.288	757.288	1	1
OLB69776.1	719	ref|WP_007567359.1|	MULTISPECIES: alkaline phosphatase [Methylobacterium] 	WP_007567359	523	0.988527724665392	0.0	0.0	4.9E-324	8	523	4	520	0.693050193050193	0.693050193050193	756.903	756.903	1	1
OLB69776.1	719	ref|WP_091860889.1|	alkaline phosphatase [Methylobacterium brachiatum] 	WP_091860889	523	0.988527724665392	0.0	0.0	4.9E-324	8	523	4	520	0.693050193050193	0.693050193050193	756.518	756.518	1	1
OLB69776.1	719	ref|WP_050732032.1|	alkaline phosphatase [Methylobacterium sp. ARG-1] 	WP_050732032	523	0.988527724665392	0.0	0.0	4.9E-324	8	523	4	520	0.693050193050193	0.693050193050193	756.518	756.518	1	1
OLB69776.1	719	ref|WP_147906488.1|	MULTISPECIES: alkaline phosphatase [unclassified Methylobacterium] 	WP_147906488	523	0.9904397705544933	0.0	0.0	4.9E-324	7	523	3	520	0.6955684007707129	0.6955684007707129	756.133	756.133	1	1
OLB69776.1	719	ref|WP_012321555.1|	MULTISPECIES: alkaline phosphatase [Methylobacterium] 	WP_012321555	523	0.9904397705544933	0.0	0.0	4.9E-324	7	523	3	520	0.6936416184971098	0.6936416184971098	755.747	755.747	1	1
OLB69776.1	719	ref|WP_043379093.1|	MULTISPECIES: alkaline phosphatase [unclassified Methylobacterium] 	WP_043379093	523	0.9904397705544933	0.0	0.0	4.9E-324	7	523	3	520	0.6917148362235067	0.6917148362235067	755.362	755.362	1	1
OLB69776.1	719	gb|KOX56150.1|	alkaline phosphatase [Streptomyces purpurogeneiscleroticus]	KOX56150	523	0.9904397705544933	0.0	0.0	4.9E-324	7	523	3	520	0.6917148362235067	0.6917148362235067	755.362	755.362	1	1
OLB69776.1	719	ref|WP_075381139.1|	alkaline phosphatase [Methylobacterium phyllosphaerae] 	WP_075381139	523	0.9904397705544933	0.0	0.0	4.9E-324	7	523	3	520	0.6897880539499036	0.6897880539499036	754.977	754.977	1	1
OLB69776.1	719	gb|KTS08383.1|	alkaline phosphatase [Methylobacterium radiotolerans] 	KTS08383	523	0.9904397705544933	0.0	0.0	4.9E-324	7	523	3	520	0.6917148362235067	0.6917148362235067	754.592	754.592	1	1
